date,HUFL,HULL,LUFL,LULL,MUFL,MULL,OT
2016-07-01 00:00:00,5.827000141143799,2.009000062942505,4.203000068664552,1.3400000333786009,1.5989999771118164,0.4620000123977661,30.5310001373291
2016-07-01 01:00:00,5.692999839782715,2.075999975204468,4.142000198364259,1.371000051498413,1.4919999837875366,0.4259999990463257,27.78700065612793
2016-07-01 02:00:00,5.1570000648498535,1.741000056266785,3.776999950408936,1.218000054359436,1.2790000438690186,0.3549999892711639,27.78700065612793
2016-07-01 03:00:00,5.090000152587892,1.9420000314712524,3.806999921798706,1.2790000438690186,1.2790000438690186,0.3910000026226044,25.04400062561035
2016-07-01 04:00:00,5.357999801635742,1.9420000314712524,3.868000030517578,1.2790000438690186,1.4919999837875366,0.4620000123977661,21.947999954223643
2016-07-01 05:00:00,5.625999927520752,2.1429998874664307,4.051000118255615,1.371000051498413,1.5279999971389768,0.5329999923706055,21.17399978637696
2016-07-01 06:00:00,7.166999816894531,2.9470000267028813,5.026000022888184,1.8580000400543213,2.131999969482422,0.7820000052452087,22.79199981689453
2016-07-01 07:00:00,7.434999942779541,3.282000064849853,5.086999893188477,2.2239999771118164,2.309999942779541,1.031000018119812,23.143999099731445
2016-07-01 08:00:00,5.559000015258789,3.013999938964844,2.9549999237060547,1.4320000410079956,2.45199990272522,1.1729999780654907,21.66699981689453
2016-07-01 09:00:00,4.554999828338623,2.5450000762939453,2.6800000667572017,1.371000051498413,1.919000029563904,0.8169999718666077,17.445999145507812
2016-07-01 10:00:00,4.956999778747559,2.5450000762939453,2.9549999237060547,1.4919999837875366,1.9900000095367432,0.8529999852180481,19.97900009155273
2016-07-01 11:00:00,5.760000228881836,2.5450000762939453,3.441999912261963,1.4919999837875366,2.203000068664551,0.8529999852180481,20.11899948120117
2016-07-01 12:00:00,4.689000129699707,2.5450000762939453,2.8329999446868896,1.5230000019073486,1.812000036239624,0.8529999852180481,19.20499992370605
2016-07-01 13:00:00,4.689000129699707,2.678999900817871,3.1070001125335693,1.6139999628067017,1.7769999504089355,1.24399995803833,18.57200050354004
2016-07-01 14:00:00,5.090000152587892,2.9470000267028813,2.559000015258789,1.4320000410079956,2.45199990272522,1.350000023841858,19.55599975585937
2016-07-01 15:00:00,5.090000152587892,3.1480000019073486,2.58899998664856,1.5230000019073486,2.486999988555908,1.350000023841858,17.305000305175778
2016-07-01 16:00:00,4.2199997901916495,2.4110000133514404,2.61899995803833,1.4919999837875366,1.7059999704360962,0.7820000052452087,19.48600006103516
2016-07-01 17:00:00,4.75600004196167,2.344000101089477,3.075999975204468,1.4919999837875366,1.6349999904632568,0.7110000252723694,19.13400077819824
2016-07-01 18:00:00,5.625999927520752,2.880000114440918,3.075999975204468,1.4919999837875366,2.5230000019073486,1.2079999446868896,20.68199920654297
2016-07-01 19:00:00,5.492000102996826,3.013999938964844,3.015000104904175,1.5529999732971191,2.45199990272522,1.2079999446868896,18.71199989318848
2016-07-01 20:00:00,5.357999801635742,3.013999938964844,2.86299991607666,1.5230000019073486,2.45199990272522,1.2079999446868896,17.868000030517578
2016-07-01 21:00:00,5.090000152587892,2.9470000267028813,2.6800000667572017,1.5230000019073486,2.38100004196167,1.2079999446868896,18.009000778198242
2016-07-01 22:00:00,4.822999954223633,2.9470000267028813,2.61899995803833,1.5230000019073486,2.203000068664551,1.1729999780654907,18.009000778198242
2016-07-01 23:00:00,4.622000217437744,2.880000114440918,2.4670000076293945,1.4919999837875366,2.131999969482422,1.1369999647140503,19.76799964904785
2016-07-02 00:00:00,5.223999977111816,3.0810000896453857,2.437000036239624,1.5230000019073486,2.700999975204468,1.315000057220459,21.10400009155273
